AÑO;MES;DIA;HORA;VERANO(1)/INVIERNO(0);COEF. PERFIL P2.0TD;COEF. PERFIL P3.0TD;COEF. PERFIL P3.0TDVE;RESERVADO;
2025;01;04;24;0;0.000148604842;0.000099401180;0.000080268219;;
2025;01;05;1;0;0.000130799372;0.000089379754;0.000059360101;;
2025;01;05;2;0;0.000112327535;0.000083640290;0.000050054442;;
2025;01;05;3;0;0.000097535882;0.000080414667;0.000037449376;;
2025;01;05;4;0;0.000088258193;0.000078434443;0.000033735467;;
2025;01;05;5;0;0.000083711728;0.000077789728;0.000036840562;;
2025;01;05;6;0;0.000082174318;0.000078184899;0.000028517101;;
2025;01;05;7;0;0.000084730943;0.000082054260;0.000025430157;;
2025;01;05;8;0;0.000090185321;0.000086916982;0.000031122769;;
2025;01;05;9;0;0.000100048089;0.000082583743;0.000043568738;;
2025;01;05;10;0;0.000124555925;0.000081544264;0.000066424020;;
2025;01;05;11;0;0.000148044394;0.000087308480;0.000096547131;;
2025;01;05;12;0;0.000158608396;0.000092358618;0.000127471418;;
2025;01;05;13;0;0.000162931968;0.000097492978;0.000152299082;;
2025;01;05;14;0;0.000172198185;0.000099306600;0.000158845780;;
2025;01;05;15;0;0.000173161603;0.000096905844;0.000156530039;;
2025;01;05;16;0;0.000157930606;0.000094059374;0.000149617082;;
2025;01;05;17;0;0.000148660417;0.000090567367;0.000143940983;;
2025;01;05;18;0;0.000147728608;0.000089523322;0.000140844690;;
2025;01;05;19;0;0.000163130010;0.000104873989;0.000144996050;;
2025;01;05;20;0;0.000175642105;0.000109015195;0.000151957820;;
2025;01;05;21;0;0.000187315554;0.000108403949;0.000132345414;;
2025;01;05;22;0;0.000189231696;0.000104075769;0.000111272891;;
2025;01;05;23;0;0.000169555061;0.000096797477;0.000087342832;;
2025;01;05;24;0;0.000142482477;0.000088897864;0.000059800756;;
2025;01;06;1;0;0.000125094742;0.000085427923;0.000059106703;;
2025;01;06;2;0;0.000107472658;0.000079972766;0.000049845654;;
2025;01;06;3;0;0.000093416848;0.000076962555;0.000037302367;;
2025;01;06;4;0;0.000084388350;0.000074949548;0.000033589507;;
2025;01;06;5;0;0.000079945878;0.000074251118;0.000036670744;;
2025;01;06;6;0;0.000079079658;0.000075160579;0.000028437410;;
2025;01;06;7;0;0.000081394661;0.000078749690;0.000025348476;;
2025;01;06;8;0;0.000086758112;0.000083527644;0.000031033561;;
2025;01;06;9;0;0.000096050658;0.000079213632;0.000043423002;;
2025;01;06;10;0;0.000119502051;0.000078169578;0.000066191607;;
2025;01;06;11;0;0.000141726732;0.000083524579;0.000096157886;;
2025;01;06;12;0;0.000151575481;0.000088212481;0.000126903719;;
2025;01;06;13;0;0.000154798853;0.000092609932;0.000151404491;;
2025;01;06;14;0;0.000161417419;0.000093157810;0.000157394548;;
2025;01;06;15;0;0.000159949099;0.000089668373;0.000154548910;;
2025;01;06;16;0;0.000143766746;0.000085857603;0.000147192395;;
